기준연도,지역,학교,유학생_전체계,전공_인문사회계열,전공_자연과학계열,전공_공학계열,전공_예체능계열,전공_의학계열,언어능력_합계(E),TOPIK_4급이상_충족,영어능력_충족,영어권_국적학생,언어능력_충족비율(%),유학생수_원본,언어비율_원본,유학생수_점수_70,언어능력_점수_30,외국인학생_점수
2025.0,경북,영남대학교,1439,576,41,142,75,0,177,177,0,0,21.2,1439.0,21.2,20.16212970376301,6.359999999999999,26.52212970376301
2025.0,경북,영남신학대학교,28,17,0,0,0,0,1,1,0,0,5.9,28.0,5.9,0.39231385108086464,1.77,2.1623138510808646
2025.0,경남,영산대학교(양산)_제2캠퍼스,98,1,10,87,0,0,31,0,31,0,31.6,98.0,31.6,1.3730984787830265,9.48,10.853098478783027
2025.0,부산,영산대학교(해운대),842,498,50,0,60,0,407,33,374,0,66.9,842.0,66.9,11.797437950360287,20.07,31.867437950360287
2025.0,전남,영산선학대학교,2,2,0,0,0,0,2,2,0,0,100.0,2.0,100.0,0.028022417934347475,30.0,30.02802241793435
2025.0,전북,예원예술대학교,104,0,0,0,90,0,22,16,5,1,24.4,104.0,24.4,1.457165732586069,7.32,8.77716573258607
2025.0,경기,예원예술대학교_제2캠퍼스,309,270,0,0,14,0,272,4,267,1,95.8,309.0,95.8,4.329463570856685,28.74,33.06946357085668
2025.0,경기,용인대학교,138,9,5,0,21,0,31,31,0,0,88.6,138.0,88.6,1.9335468374699758,26.58,28.513546837469974
2025.0,전북,우석대학교,1111,719,58,45,43,3,50,50,0,0,5.8,1111.0,5.8,15.566453162530022,1.7399999999999998,17.306453162530023
2025.0,대전,우송대학교,2302,1388,2,381,237,0,1101,22,888,191,54.8,2302.0,54.8,32.253803042433944,16.439999999999998,48.69380304243394
2025.0,울산,울산과학기술원,84,9,2,51,0,0,60,0,54,6,96.8,84.0,96.8,1.176941553242594,29.04,30.21694155324259
2025.0,울산,울산대학교,257,78,2,14,12,0,45,44,1,0,42.5,257.0,42.5,3.600880704563651,12.75,16.35088070456365
2025.0,전북,원광대학교,132,39,11,4,8,1,8,8,0,0,12.7,132.0,12.7,1.8494795836669335,3.81,5.659479583666934
2025.0,전북,원광디지털대학교,54,21,8,0,25,0,0,0,0,0,0.0,54.0,0.0,0.7566052842273819,0.0,0.7566052842273819
2025.0,경북,위덕대학교,93,40,1,2,0,0,32,32,0,0,74.4,93.0,74.4,1.3030424339471578,22.320000000000004,23.623042433947163
2025.0,충북,유원대학교,185,33,5,0,1,0,10,10,0,0,25.6,185.0,25.6,2.592073658927142,7.68,10.272073658927141
2025.0,대전,을지대학교,2,0,0,0,0,2,2,2,0,0,100.0,2.0,100.0,0.028022417934347475,30.0,30.02802241793435
2025.0,경기,을지대학교_제2캠퍼스,18,2,7,0,0,0,4,4,0,0,44.4,18.0,44.4,0.2522017614091273,13.32,13.572201761409127
2025.0,경기,을지대학교_제3캠퍼스,1,0,1,0,0,0,1,1,0,0,100.0,1.0,100.0,0.014011208967173738,30.0,30.014011208967172
2025.0,서울,이화여자대학교,2089,1128,49,63,104,0,804,729,68,7,59.8,2089.0,59.8,29.269415532425942,17.939999999999998,47.209415532425936
